Game,Genre,Earnings,Players,Tournaments,TotalPlayers,TotalTournaments
Marvel vs. Capcom: Infinite,Fighting Game,0.001585255059713733,0.010471204188481674,0.005847953216374269,0.0036873156342182895,0.002898950855880729
Counter-Strike Online,First-Person Shooter,0.000996545692103557,0.008726003490401396,0.0,0.0043018682399213375,0.0015184980673660963
Artifact Classic,Collectible Card Game,1.3204230420372128e-05,0.004653868528214078,0.017543859649122806,0.01745329400196657,0.026090557702926565
WarCraft III,Strategy,0.0020746636318342503,0.011052937754508435,0.03508771929824561,0.046214355948869225,0.21148536720044175
Super Street Fighter IV Arcade Edition,Fighting Game,0.0004717647306418238,0.013961605584642232,0.06432748538011696,0.009464110127826943,0.028023191606847048
WarCraft III,Strategy,1.209507506506087e-05,0.001745200698080279,0.0,0.046214355948869225,0.21148536720044175
Team Fortress 2,First-Person Shooter,1.946502873101272e-05,0.003490401396160558,0.0,0.08966322517207473,0.028299282164549976
Super Street Fighter IV Arcade Edition,Fighting Game,0.00047503489533046156,0.009307737056428156,0.029239766081871343,0.009464110127826943,0.028023191606847048
Rainbow Six Siege,First-Person Shooter,0.003358792230628629,0.08726003490401396,0.03508771929824561,0.18024827925270404,0.0748205411374931
Tekken 7,Fighting Game,0.0003467107031039787,0.011634671320535195,0.023391812865497075,0.03662733529990168,0.055080066261733854
Halo: Reach,First-Person Shooter,0.001245682115129446,0.01861547411285631,0.0,0.007436086529006883,0.0038652678078409724
Super Smash Bros. Melee,Fighting Game,3.1142052878236154e-05,0.003490401396160558,0.005847953216374269,0.12063667649950836,0.3718939812258421
Hearthstone,Collectible Card Game,0.004889193429266214,0.04304828388598022,0.06432748538011696,0.1887291052114061,0.15502484815019327
Heroes of Newerth,Multiplayer Online Battle Arena,0.0004982728460517785,0.008726003490401396,0.0,0.05039331366764995,0.05438983986747654
Quake Champions,First-Person Shooter,0.025169235843426795,0.03781268179173938,0.05263157894736842,0.01935840707964602,0.038928768636112644
Day of Defeat: Source,First-Person Shooter,9.972034122603452e-05,0.01687027341477603,0.005847953216374269,0.003072763028515241,0.0009663169519602431
Super Smash Bros. for Wii U,Fighting Game,1.2207684728268572e-05,0.001745200698080279,0.0,0.07866273352999018,0.14273881833241303
PokkÃ©n Tournament DX,Fighting Game,2.491364230258892e-06,0.001745200698080279,0.0,0.002704031465093412,0.003727222528989509
StarCraft: Brood War,Strategy,5.753481812432977e-05,0.001745200698080279,0.0,0.040437561455260576,0.07385422418553286
Ultra Street Fighter IV,Fighting Game,6.22841057564723e-06,0.001745200698080279,0.0,0.014872173058013766,0.03202650469353948
Age of Empires II,Strategy,4.982728460517784e-05,0.002326934264107039,0.005847953216374269,0.12254178957718781,0.22252898950855882
StarCraft II,Strategy,0.009755039287784978,0.05700988947062245,0.27485380116959063,0.13600049164208458,1.0
Street Fighter V: Arcade Edition,Fighting Game,6.211718435304496e-06,0.001745200698080279,0.0,0.014441986234021632,0.014356709000552184
Hearthstone,Collectible Card Game,0.0076362822461214916,0.0389761489237929,0.07017543859649122,0.1887291052114061,0.15502484815019327
Guild Wars 2,Role-Playing Game,0.00010633316930241069,0.005817335660267597,0.04093567251461988,0.009341199606686333,0.007730535615681944
TrackMania 2: Stadium,Racing,6.136230099127651e-07,0.0005817335660267597,0.0,0.021202064896755163,0.039342904472667035
Overwatch,First-Person Shooter,0.002827628643145395,0.0692262943571844,0.011695906432748537,0.2487094395280236,0.11512976256212039
Super Smash Bros. Brawl,Fighting Game,9.965456921035567e-06,0.004072134962187318,0.005847953216374269,0.03128072763028515,0.04790171176145776
Mario Tennis Aces,Sports,2.491364230258892e-07,0.001745200698080279,0.0,0.0003687315634218289,0.0001380452788514633
Xonotic,First-Person Shooter,2.8301897655741014e-07,0.004653868528214078,0.0,0.0058997050147492625,0.005935946990612922
Battalion 1944,First-Person Shooter,3.2158280347758754e-05,0.0,0.005847953216374269,0.008296460176991151,0.0038652678078409724
StarCraft: Brood War,Strategy,0.0022561438204139602,0.011634671320535195,0.011695906432748537,0.040437561455260576,0.07385422418553286
Street Fighter V: Champion Edition,Fighting Game,5.3795280414711175e-05,0.005817335660267597,0.017543859649122806,0.016654375614552606,0.02098288238542242
FIFA 17,Sports,0.0003737046345388338,0.002326934264107039,0.0,0.008296460176991151,0.006488128106018775
World of WarCraft,Role-Playing Game,0.00024913642302588923,0.005235602094240837,0.0,0.02992871189773845,0.027747101049144123
Super Smash Bros. Ultimate,Fighting Game,0.0009207137967993597,0.01977894124490983,0.023391812865497075,0.14509587020648967,0.23329652125897296
Call of Duty: Mobile,First-Person Shooter,0.004104721878489945,0.04130308318789994,0.011695906432748537,0.019972959685349068,0.0027609055770292656
BlazBlue: Central Fiction,Fighting Game,3.288600783941738e-05,0.004653868528214078,0.0,0.00700589970501475,0.0067642186637217015
PokÃ©mon VGC,Strategy,0.00029896370763106704,0.011634671320535195,0.011695906432748537,0.018620943952802362,0.006212037548315848
Vampire Savior,Fighting Game,1.3204230420372128e-05,0.001745200698080279,0.0,0.0022738446411012785,0.002898950855880729
Ultimate Marvel vs. Capcom 3,Fighting Game,4.982728460517784e-05,0.003490401396160558,0.011695906432748537,0.012844149459193708,0.025676421866372173
Virtua Fighter 5,Fighting Game,1.9930913842071136e-06,0.0005817335660267597,0.0,0.0008603736479842675,0.0008282716731087799
Guild Wars 2,Role-Playing Game,0.0013567461359686953,0.02094240837696335,0.04678362573099415,0.009341199606686333,0.007730535615681944
Assetto Corsa Competizione,Racing,0.0007370202802374881,0.005235602094240837,0.005847953216374269,0.028883972468043265,0.007454445057979018
Heroes of the Storm,Multiplayer Online Battle Arena,0.00622841057564723,0.034904013961605584,0.0,0.08124385447394297,0.06888459414688018
Chess.com,Strategy,2.491364230258892e-05,0.0029086678301337987,0.0,0.06366764995083579,0.0831032578685809
Halo 3,First-Person Shooter,0.0013951639689449796,0.01861547411285631,0.0,0.013151425762045232,0.005797901711761458
Age of Mythology,Strategy,3.6124781338753936e-06,0.0029086678301337987,0.005847953216374269,0.013335791543756146,0.0353395913859746
SMITE,Multiplayer Online Battle Arena,0.0008719774805906122,0.011634671320535195,0.0,0.03330875122910521,0.013252346769740476
Rainbow Six Siege,First-Person Shooter,0.015108611051023145,0.22629435718440952,0.07602339181286549,0.18024827925270404,0.0748205411374931
Age of Empires III,Strategy,4.982728460517784e-06,0.0011634671320535194,0.0,0.0102015732546706,0.022363335173937054
Counter-Strike: Global Offensive,First-Person Shooter,0.00902073683678628,0.135543920884235,0.11695906432748537,1.0,0.9504417448923248
Counter-Strike,First-Person Shooter,6.64364625190448e-05,0.01861547411285631,0.011695906432748537,0.26204523107177974,0.14108227498619547
Fortnite,Battle Royale,0.34472627892679225,0.8155904595695171,0.29239766081871343,0.4805186823992134,0.23937051352843733
Acceleration of SUGURI 2,Fighting Game,2.491364230258892e-06,0.001745200698080279,0.0,0.0004916420845624386,0.0002760905577029266
Mortal Kombat XL,Fighting Game,5.979274152621341e-06,0.001745200698080279,0.0,0.0033800393313667652,0.0023467697404748757
StarCraft II,Strategy,9.268697086759064e-05,0.004653868528214078,0.029239766081871343,0.13600049164208458,1.0
Point Blank,First-Person Shooter,0.0003487909922362449,0.011634671320535195,0.0,0.03582841691248771,0.015323025952512427
Ninja Legends,Fighting Game,2.491364230258892e-05,0.003490401396160558,0.0,0.0003687315634218289,0.0
WarCraft III,Strategy,0.0012531086227634248,0.015706806282722512,0.0935672514619883,0.046214355948869225,0.21148536720044175
Age of Empires III,Strategy,2.533717422173293e-05,0.004653868528214078,0.005847953216374269,0.0102015732546706,0.022363335173937054
VALORANT,First-Person Shooter,0.011162278400881177,0.45666084933100637,0.2631578947368421,0.3989060963618486,0.15640530093870791
Dragon Ball FighterZ,Fighting Game,2.695008342440254e-05,0.005817335660267597,0.017543859649122806,0.016654375614552606,0.02305356156819437
Fortnite,Battle Royale,0.05472347951534035,0.16114019778941244,0.08771929824561403,0.4805186823992134,0.23937051352843733
Age of Empires II,Strategy,0.00011602083911177239,0.010471204188481674,0.023391812865497075,0.12254178957718781,0.22252898950855882
CrossFire,First-Person Shooter,0.019677417531642295,0.05700988947062245,0.005847953216374269,0.05942723697148476,0.04928216454997239
Heroes of Newerth,Multiplayer Online Battle Arena,0.002902841932711219,0.011634671320535195,0.0,0.05039331366764995,0.05438983986747654
FIFA 06,Sports,0.0008009511777501614,0.0029086678301337987,0.011695906432748537,0.001413470993117011,0.0015184980673660963
WarCraft III,Strategy,0.0014721697950744747,0.016288539848749273,0.04678362573099415,0.046214355948869225,0.21148536720044175
Quake Live,First-Person Shooter,2.491364230258892e-06,0.0011634671320535194,0.0,0.013827433628318585,0.056598564329099946
Injustice: Gods Among Us,Fighting Game,8.470638382880233e-06,0.013379872018615473,0.03508771929824561,0.006206981317600787,0.016013252346769744
FIFA 09,Sports,0.0003986182768414227,0.001745200698080279,0.0,0.003195673549655851,0.002484815019326339
Hearthstone,Collectible Card Game,0.004678781027880507,0.06457242582897033,0.08187134502923976,0.1887291052114061,0.15502484815019327
ARMS,Fighting Game,1.33579475933791e-05,0.004072134962187318,0.011695906432748537,0.007989183874139627,0.015323025952512427
Minecraft,Multiplayer Online Battle Arena,0.002678216547528309,0.0692262943571844,0.029239766081871343,0.033370206489675515,0.013942573163997793
TrackMania Nations,Racing,3.168517028043259e-06,0.0005817335660267597,0.0,0.0026425762045231074,0.0023467697404748757
Guild Wars 2,Role-Playing Game,0.002491364230258892,0.013961605584642232,0.0,0.009341199606686333,0.007730535615681944
Gran Turismo 7,Sports,2.1126768672595404e-06,0.001745200698080279,0.0,0.0007989183874139627,0.0002760905577029266
Team Fortress 2,First-Person Shooter,2.491364230258892e-05,0.015706806282722512,0.0,0.08966322517207473,0.028299282164549976
Age of Mythology,Strategy,1.0214593344061457e-05,0.004653868528214078,0.011695906432748537,0.013335791543756146,0.0353395913859746
Heroes of Newerth,Multiplayer Online Battle Arena,0.0020479013972728092,0.08726003490401396,0.07017543859649122,0.05039331366764995,0.05438983986747654
QuakeWorld,First-Person Shooter,7.474092690776676e-06,0.001745200698080279,0.0,0.0036258603736479844,0.0022087244616234127
League of Legends,Multiplayer Online Battle Arena,0.0018405102732891381,0.07911576497963932,0.029239766081871343,0.5660644051130778,0.39950303699613476
Quake III Arena,First-Person Shooter,0.0006975819844724898,0.008726003490401396,0.005847953216374269,0.018928220255653886,0.015599116510215352
Age of Mythology,Strategy,1.245682115129446e-06,0.0005817335660267597,0.0,0.013335791543756146,0.0353395913859746
Magic: The Gathering Arena,Collectible Card Game,0.00024913642302588923,0.009307737056428156,0.0,0.02064896755162242,0.008144671452236334
Call of Duty 4: Modern Warfare,First-Person Shooter,7.783769264597857e-05,0.008726003490401396,0.0,0.026487217305801378,0.011871893981225843
Street Fighter III: 3rd Strike,Fighting Game,5.08238302972814e-05,0.001745200698080279,0.0,0.006637168141592921,0.006073992269464385
KartRider,Racing,0.0006898587553586872,0.004653868528214078,0.005847953216374269,0.004670599803343166,0.002622860298177802
World of WarCraft,Role-Playing Game,7.474092690776676e-05,0.003490401396160558,0.0,0.02992871189773845,0.027747101049144123
iRacing.com,Racing,0.006357420889582726,0.06806282722513089,0.03508771929824561,0.07884709931170109,0.025400331308669248
Dota 2,Multiplayer Online Battle Arena,0.0025765818420277436,0.029086678301337987,0.011695906432748537,0.29400196656833827,0.25400331308669244
FIFA 07,Sports,0.0004299357217614691,0.0075625363583478765,0.005847953216374269,0.0026425762045231074,0.001794588625069023
Gran Turismo 7,Sports,2.1126768672595404e-06,0.001745200698080279,0.0,0.0007989183874139627,0.0002760905577029266
osu!,Music / Rhythm Game,4.5964673502584455e-05,0.012798138452588714,0.011695906432748537,0.052482792527040315,0.028161236885698514
StarCraft: Brood War,Strategy,0.005358123485686849,0.027341477603257707,0.03508771929824561,0.040437561455260576,0.07385422418553286
Hearthstone,Collectible Card Game,0.0062626678303589825,0.09424083769633508,0.005847953216374269,0.1887291052114061,0.15502484815019327
Tekken 7,Fighting Game,0.0006078196260748001,0.01687027341477603,0.017543859649122806,0.03662733529990168,0.055080066261733854
Under Night In-Birth Exe:Late[cl-r],Fighting Game,1.4982317071507899e-05,0.002326934264107039,0.0,0.002335299901671583,0.0011043622308117063
Halo 5: Guardians,First-Person Shooter,0.0036124781338753935,0.04653868528214078,0.017543859649122806,0.015240904621435595,0.014908890115958036
Ultimate Marvel vs. Capcom 3,Fighting Game,0.00035738619883063805,0.010471204188481674,0.03508771929824561,0.012844149459193708,0.025676421866372173
Age of Empires II,Strategy,4.982728460517784e-05,0.002326934264107039,0.0,0.12254178957718781,0.22252898950855882
StarCraft: Brood War,Strategy,0.0027175801023663995,0.008144269924374637,0.011695906432748537,0.040437561455260576,0.07385422418553286
Tower Tag,First-Person Shooter,3.0232704934191655e-05,0.003490401396160558,0.0,0.0015363815142576205,0.0005521811154058532
PLAYERUNKNOWNâ€™S BATTLEGROUNDS,Battle Royale,0.0060340834182777674,0.16637579988365328,0.04093567251461988,0.23014995083579157,0.08172280508006627
Yu-Gi-Oh! Duel Links,Collectible Card Game,0.00017852941678539103,0.031995346131471786,0.07602339181286549,0.02015732546705998,0.030093870789618997
Super Smash Bros. Melee,Fighting Game,0.00011285879963072781,0.0029086678301337987,0.005847953216374269,0.12063667649950836,0.3718939812258421
Samurai Shodown (2019),Fighting Game,7.88379753844275e-05,0.009889470622454915,0.017543859649122806,0.004609144542772861,0.002622860298177802
Chess.com,Strategy,0.00013704994630654165,0.012216404886561954,0.017543859649122806,0.06366764995083579,0.0831032578685809
StarCraft: Brood War,Strategy,0.003693127331055219,0.009889470622454915,0.011695906432748537,0.040437561455260576,0.07385422418553286
Super Smash Bros. Brawl,Fighting Game,7.215489083675804e-06,0.003490401396160558,0.0,0.03128072763028515,0.04790171176145776
Marvel vs. Capcom 2,Fighting Game,2.491364230258892e-07,0.001745200698080279,0.0,0.004178957718780728,0.0038652678078409724
PokÃ©mon GO,Strategy,0.0011709411882216793,0.009307737056428156,0.0,0.012598328416912488,0.005797901711761458
Call of Duty: Warzone,First-Person Shooter,0.013849493756009182,0.15474112856311809,0.10526315789473684,0.0751597836774828,0.0519050248481502
Heroes of the Storm,Multiplayer Online Battle Arena,0.02491364230258892,0.034904013961605584,0.005847953216374269,0.08124385447394297,0.06888459414688018
Pro Evolution Soccer 3,Sports,0.000622841057564723,0.004653868528214078,0.0,0.0004916420845624386,0.0001380452788514633
CrossFire,First-Person Shooter,6.092083124967464e-05,0.02326934264107039,0.029239766081871343,0.05942723697148476,0.04928216454997239
World of WarCraft,Role-Playing Game,0.001245682115129446,0.02152414194299011,0.0,0.02992871189773845,0.027747101049144123
Street Fighter V: Arcade Edition,Fighting Game,6.228410575647231e-05,0.004653868528214078,0.0,0.014441986234021632,0.014356709000552184
Tekken 7,Fighting Game,0.0004660816796961802,0.011634671320535195,0.029239766081871343,0.03662733529990168,0.055080066261733854
Guilty Gear XX #Reload,Fighting Game,0.0,0.001745200698080279,0.0,0.00018436578171091445,0.0
chess24,Strategy,0.002491364230258892,0.009307737056428156,0.0,0.0055309734513274336,0.0038652678078409724
StarCraft II,Strategy,0.0011434218280706628,0.04130308318789994,0.17543859649122806,0.13600049164208458,1.0
Age of Empires II,Strategy,0.0008955071700632923,0.06864456079115765,0.11695906432748537,0.12254178957718781,0.22252898950855882
Rainbow Six Siege,First-Person Shooter,0.005876143382900505,0.07388016288539849,0.023391812865497075,0.18024827925270404,0.0748205411374931
Lichess,Strategy,4.982728460517784e-05,0.004072134962187318,0.005847953216374269,0.02126352015732547,0.02429596907785754
Street Fighter III: 3rd Strike,Fighting Game,1.2955093997346238e-05,0.001745200698080279,0.0,0.006637168141592921,0.006073992269464385
rFactor 2,Racing,0.0001169610799722721,0.017452006980802792,0.0,0.034107669616519176,0.013942573163997793
Quake Champions,First-Person Shooter,0.0005605569518082507,0.013961605584642232,0.0,0.01935840707964602,0.038928768636112644
Halo Infinite,First-Person Shooter,0.008849325745879585,0.04130308318789994,0.0,0.014564896755162243,0.006350082827167311
Counter-Strike: Global Offensive,First-Person Shooter,0.049234602259029675,0.6166375799883653,0.4152046783625731,1.0,0.9504417448923248
FIFA Online 3,Sports,0.0005957566896083095,0.005817335660267597,0.005847953216374269,0.007620452310717798,0.003313086692435119
rFactor 2,Racing,2.815241580192548e-06,0.0005817335660267597,0.0,0.034107669616519176,0.013942573163997793
Heroes of Newerth,Multiplayer Online Battle Arena,0.0002252547037874735,0.014543339150668994,0.005847953216374269,0.05039331366764995,0.05438983986747654
Dota 2,Multiplayer Online Battle Arena,0.024104178382400386,0.19139034322280396,0.08771929824561403,0.29400196656833827,0.25400331308669244
StarCraft II,Strategy,0.005183593705036715,0.06806282722513089,0.19883040935672514,0.13600049164208458,1.0
Assetto Corsa,Racing,0.0002269134540919799,0.011634671320535195,0.005847953216374269,0.01831366764995084,0.0176697956929873
Old School Runescape,Role-Playing Game,0.00017450013341579332,0.006980802792321116,0.0,0.005162241887905605,0.003451131971286582
Beat Saber,Music / Rhythm Game,6.529865647508557e-05,0.013961605584642232,0.0,0.003871681415929204,0.001380452788514633
Age of Empires II,Strategy,0.00511727907022853,0.04886561954624782,0.11695906432748537,0.12254178957718781,0.22252898950855882
Chess.com,Strategy,8.754653905129747e-05,0.005235602094240837,0.005847953216374269,0.06366764995083579,0.0831032578685809
Rainbow Six Siege,First-Person Shooter,0.02972342299874279,0.11052937754508435,0.029239766081871343,0.18024827925270404,0.0748205411374931
Super Smash Bros. Melee,Fighting Game,8.346070171367289e-05,0.016288539848749273,0.029239766081871343,0.12063667649950836,0.3718939812258421
Counter-Strike: Global Offensive,First-Person Shooter,0.03479292717021902,0.47760325770796974,0.4327485380116959,1.0,0.9504417448923248
Age of Empires II,Strategy,2.9896370763106706e-05,0.003490401396160558,0.005847953216374269,0.12254178957718781,0.22252898950855882
Quake Champions,First-Person Shooter,0.0003030590121527666,0.015125072716695753,0.04093567251461988,0.01935840707964602,0.038928768636112644
Super Smash Bros. for Wii U,Fighting Game,0.0005696586527506555,0.05351948807446189,0.1111111111111111,0.07866273352999018,0.14273881833241303
Brawl Stars,Strategy,0.002080289132266175,0.06748109365910412,0.03508771929824561,0.04258849557522124,0.026918829376035344
Super Smash Bros. Ultimate,Fighting Game,0.00041223134013198035,0.06050029086678301,0.1286549707602339,0.14509587020648967,0.23329652125897296
CrossFire Mobile,First-Person Shooter,0.005057992573913905,0.029086678301337987,0.0,0.017146017699115047,0.0022087244616234127
Old School Runescape,Role-Playing Game,0.00024913642302588923,0.0005817335660267597,0.0,0.005162241887905605,0.003451131971286582
Street Fighter Alpha 2,Fighting Game,2.2422278072330027e-06,0.0005817335660267597,0.0,0.0014749262536873156,0.001380452788514633
Heroes of the Storm,Multiplayer Online Battle Arena,0.0155152136519497,0.10994764397905758,0.13450292397660818,0.08124385447394297,0.06888459414688018
League of Legends,Multiplayer Online Battle Arena,0.006168822624260744,0.18033740546829552,0.08771929824561403,0.5660644051130778,0.39950303699613476
Counter-Strike: Global Offensive,First-Person Shooter,0.010856337378586847,0.7789412449098313,0.5730994152046784,1.0,0.9504417448923248
iRacing.com,Racing,0.00044595419721634165,0.005817335660267597,0.0,0.07884709931170109,0.025400331308669248
Tekken 7,Fighting Game,0.0023474879459614412,0.015706806282722512,0.023391812865497075,0.03662733529990168,0.055080066261733854
Lichess,Strategy,2.7405006532847813e-05,0.004653868528214078,0.005847953216374269,0.02126352015732547,0.02429596907785754
Overwatch,First-Person Shooter,0.0015106040710546787,0.05700988947062245,0.14619883040935672,0.2487094395280236,0.11512976256212039
Samurai Shodown (2019),Fighting Game,4.185491906834939e-05,0.004653868528214078,0.0,0.004609144542772861,0.002622860298177802
Call of Duty: Black Ops 2,First-Person Shooter,0.0007097998837941024,0.02210587550901687,0.029239766081871343,0.011492133726647001,0.0073163997791275545
CrossFire,First-Person Shooter,0.012494478121634824,0.038394415357766144,0.0,0.05942723697148476,0.04928216454997239
Persona 4 Arena,Fighting Game,2.0429186688122915e-05,0.001745200698080279,0.0,0.0025811209439528023,0.001380452788514633
Call of Duty 4: Modern Warfare,First-Person Shooter,0.00012255294698708817,0.005817335660267597,0.0,0.026487217305801378,0.011871893981225843
Speedrunners,Racing,2.491364230258892e-06,0.001745200698080279,0.0,0.0003072763028515241,0.0001380452788514633
Hearthstone,Collectible Card Game,0.013388093100565233,0.013379872018615473,0.017543859649122806,0.1887291052114061,0.15502484815019327
Gran Turismo Sport,Racing,2.1542577362625616e-05,0.012216404886561954,0.023391812865497075,0.007743362831858408,0.003313086692435119
TrackMania 2: Canyon,Racing,6.124271550822408e-06,0.0005817335660267597,0.005847953216374269,0.0015363815142576205,0.005107675317504142
Ultra Street Fighter IV,Fighting Game,0.006366718660890052,0.011634671320535195,0.05263157894736842,0.014872173058013766,0.03202650469353948
Granblue Fantasy: Versus,Fighting Game,4.944137228591074e-05,0.0075625363583478765,0.017543859649122806,0.007251720747295969,0.011457758144671454
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,Battle Royale,0.14219066363317562,0.47411285631180916,0.09941520467836257,0.23604965585054083,0.03906681391496411
Dota Underlords,Strategy,3.986182768414227e-05,0.006399069226294357,0.011695906432748537,0.003810226155358899,0.004831584759801215
Counter-Strike,First-Person Shooter,0.004157857196520061,0.11925538103548575,0.03508771929824561,0.26204523107177974,0.14108227498619547
King of Fighters XIV,Fighting Game,8.470638382880233e-06,0.001745200698080279,0.0,0.005469518190757129,0.005245720596355605
Brawl Stars,Strategy,0.0032636871416391487,0.09598603839441536,0.03508771929824561,0.04258849557522124,0.026918829376035344
Halo 3,First-Person Shooter,0.0014880918547336363,0.027923211169284465,0.005847953216374269,0.013151425762045232,0.005797901711761458
Quake III Arena,First-Person Shooter,0.00014948185381553352,0.001745200698080279,0.0,0.018928220255653886,0.015599116510215352
Gears 5,Third-Person Shooter,1.245682115129446e-05,0.004653868528214078,0.0,0.010017207472959685,0.015323025952512427
Overwatch,First-Person Shooter,0.0050326431920074445,0.13089005235602094,0.07602339181286549,0.2487094395280236,0.11512976256212039
Age of Mythology,Strategy,4.982728460517784e-06,0.002326934264107039,0.0,0.013335791543756146,0.0353395913859746
Halo 3,First-Person Shooter,0.0013951639689449796,0.01861547411285631,0.0,0.013151425762045232,0.005797901711761458
Super Smash Bros. Melee,Fighting Game,0.00023892182968182776,0.015125072716695753,0.023391812865497075,0.12063667649950836,0.3718939812258421
Age of Empires Online,Strategy,3.986182768414227e-06,0.0029086678301337987,0.0,0.002704031465093412,0.0067642186637217015
Age of Empires,Strategy,6.686821594014867e-05,0.013961605584642232,0.011695906432748537,0.02906833824975418,0.036443953616786304
WarCraft III: Reforged,Strategy,0.0007621118059461175,0.02036067481093659,0.0935672514619883,0.00915683382497542,0.06639977912755385
StarCraft II,Strategy,0.00026398520297465526,0.011634671320535195,0.0935672514619883,0.13600049164208458,1.0
Super Smash Bros. for Wii U,Fighting Game,0.00013099593122701254,0.02152414194299011,0.05263157894736842,0.07866273352999018,0.14273881833241303
Super Smash Bros.,Fighting Game,1.7439549611812245e-06,0.0011634671320535194,0.0,0.014687807276302853,0.01753175041413584
Rainbow Six Siege,First-Person Shooter,0.01334985888113272,0.10587550901687028,0.029239766081871343,0.18024827925270404,0.0748205411374931
TrackMania Nations Forever,Racing,6.228410575647231e-05,0.002326934264107039,0.0,0.008603736479842675,0.011595803423522918
Street Fighter X Tekken,Fighting Game,0.0,0.0075625363583478765,0.005847953216374269,0.007067354965585054,0.012700165654334624
Heroes of the Storm,Multiplayer Online Battle Arena,0.00012456821151294461,0.011634671320535195,0.0,0.08124385447394297,0.06888459414688018
PLAYERUNKNOWNâ€™S BATTLEGROUNDS,Battle Royale,0.008434045474202614,0.1343804537521815,0.03508771929824561,0.23014995083579157,0.08172280508006627
Super Smash Bros. for Wii U,Fighting Game,1.2207684728268572e-05,0.001745200698080279,0.0,0.07866273352999018,0.14273881833241303
Mobile Legends: Bang Bang,Multiplayer Online Battle Arena,0.007540861252147615,0.11925538103548575,0.017543859649122806,0.10723942969518191,0.01587520706791828
Rainbow Six: Vegas,First-Person Shooter,0.00041605782645323495,0.0360674810936591,0.0,0.006514257620452311,0.0008282716731087799
Sailor Moon S,Fighting Game,7.723229113802565e-06,0.001745200698080279,0.0,0.0012291052114060965,0.0015184980673660963
Quake Champions,First-Person Shooter,0.0001317161846259804,0.003490401396160558,0.0,0.01935840707964602,0.038928768636112644
Granblue Fantasy: Versus,Fighting Game,0.001183227849196047,0.009307737056428156,0.023391812865497075,0.007251720747295969,0.011457758144671454
Ring of Elysium,Battle Royale,0.00014948185381553352,0.0029086678301337987,0.0,0.0005530973451327434,0.0004141358365543899
Overwatch,First-Person Shooter,0.03832834317313332,0.29086678301337987,0.0935672514619883,0.2487094395280236,0.11512976256212039
Chess.com,Strategy,4.9827035468754814e-05,0.005817335660267597,0.005847953216374269,0.06366764995083579,0.0831032578685809
BlazBlue: Central Fiction,Fighting Game,5.979274152621341e-05,0.001745200698080279,0.0,0.00700589970501475,0.0067642186637217015
VALORANT,First-Person Shooter,0.009045845552908098,0.34671320535194877,0.21637426900584794,0.3989060963618486,0.15640530093870791
Counter-Strike: Source,First-Person Shooter,2.9860495118190976e-05,0.005817335660267597,0.0,0.09230580137659784,0.04555494202098288
Mobile Legends: Bang Bang,Multiplayer Online Battle Arena,0.00034150375186273765,0.013379872018615473,0.0,0.10723942969518191,0.01587520706791828
Super Street Fighter IV,Fighting Game,3.1142052878236154e-05,0.006980802792321116,0.005847953216374269,0.0026425762045231074,0.0023467697404748757
Quake III Arena,First-Person Shooter,1.4640003626270327e-05,0.002326934264107039,0.0,0.018928220255653886,0.015599116510215352
Million Arthur: Arcana Blood,Fighting Game,2.491364230258892e-07,0.001745200698080279,0.0,0.0007374631268436578,0.0004141358365543899
CrossFire,First-Person Shooter,0.00323877349933656,0.014543339150668994,0.005847953216374269,0.05942723697148476,0.04928216454997239
Forza Motorsport 7,Racing,0.001868523172694169,0.006980802792321116,0.0,0.007558997050147493,0.0015184980673660963
Counter-Strike,First-Person Shooter,0.00139219501019178,0.06108202443280977,0.023391812865497075,0.26204523107177974,0.14108227498619547
StarCraft II,Strategy,0.0025669801242843254,0.06108202443280977,0.2982456140350877,0.13600049164208458,1.0
Super Smash Bros. Melee,Fighting Game,3.113607360408353e-05,0.005817335660267597,0.011695906432748537,0.12063667649950836,0.3718939812258421
