Game,Genre,Earnings,Players,Tournaments,TotalPlayers,TotalTournaments
Command and Conquer: Red Alert,Strategy,0.0003737046345388338,0.004653868528214078,0.0,0.0004916420845624386,0.0
QuakeWorld,First-Person Shooter,0.0003737046345388338,0.004653868528214078,0.0,0.0036258603736479844,0.0022087244616234127
Quake II,First-Person Shooter,0.0003737046345388338,0.002326934264107039,0.0,0.0022738446411012785,0.0015184980673660963
Total Annihilation,Strategy,0.0003737046345388338,0.0011634671320535194,0.0,0.00012291052114060964,0.0
QuakeWorld,First-Person Shooter,7.474092690776676e-06,0.001745200698080279,0.0,0.0036258603736479844,0.0022087244616234127
Quake II,First-Person Shooter,0.000161938674966828,0.002326934264107039,0.0,0.0022738446411012785,0.0015184980673660963
Quake II,First-Person Shooter,0.0008719774805906122,0.0075625363583478765,0.005847953216374269,0.0022738446411012785,0.0015184980673660963
QuakeWorld,First-Person Shooter,0.0007474092690776676,0.009889470622454915,0.0,0.0036258603736479844,0.0022087244616234127
StarCraft: Brood War,Strategy,0.0004982728460517785,0.004653868528214078,0.0,0.040437561455260576,0.07385422418553286
Age of Empires,Strategy,4.982728460517784e-05,0.0005817335660267597,0.0,0.02906833824975418,0.036443953616786304
Quake II,First-Person Shooter,0.0003737046345388338,0.0029086678301337987,0.0,0.0022738446411012785,0.0015184980673660963
StarCraft: Brood War,Strategy,7.474092690776676e-05,0.0011634671320535194,0.0,0.040437561455260576,0.07385422418553286
StarCraft: Brood War,Strategy,0.0007598660902289621,0.004653868528214078,0.0,0.040437561455260576,0.07385422418553286
Quake II,First-Person Shooter,0.0006826337990909364,0.004653868528214078,0.0,0.0022738446411012785,0.0015184980673660963
Descent 3,First-Person Shooter,0.001245682115129446,0.0005817335660267597,0.0,6.145526057030482e-05,0.0
StarCraft: Brood War,Strategy,0.0012331968924259265,0.005235602094240837,0.005847953216374269,0.040437561455260576,0.07385422418553286
StarCraft: Brood War,Strategy,0.0008636603102443161,0.008726003490401396,0.011695906432748537,0.040437561455260576,0.07385422418553286
Quake III Arena,First-Person Shooter,0.0004085837337624583,0.003490401396160558,0.0,0.018928220255653886,0.015599116510215352
Quake III Arena,First-Person Shooter,0.0006676856137093831,0.006980802792321116,0.0,0.018928220255653886,0.015599116510215352
StarCraft: Brood War,Strategy,0.0007985843817314154,0.008726003490401396,0.017543859649122806,0.040437561455260576,0.07385422418553286
Age of Empires II,Strategy,0.0008803449764943598,0.0011634671320535194,0.0,0.12254178957718781,0.22252898950855882
StarCraft: Brood War,Strategy,0.0005934469458304365,0.008726003490401396,0.011695906432748537,0.040437561455260576,0.07385422418553286
Quake III Arena,First-Person Shooter,9.965456921035568e-05,0.001745200698080279,0.0,0.018928220255653886,0.015599116510215352
Age of Empires II,Strategy,1.1211139036165014e-05,0.0029086678301337987,0.0,0.12254178957718781,0.22252898950855882
Quake III Arena,First-Person Shooter,0.002763611295293932,0.02501454333915067,0.04093567251461988,0.018928220255653886,0.015599116510215352
Age of Empires,Strategy,0.00023667960187459473,0.002326934264107039,0.0,0.02906833824975418,0.036443953616786304
Age of Empires II,Strategy,0.00012494191614748345,0.0005817335660267597,0.0,0.12254178957718781,0.22252898950855882
StarCraft: Brood War,Strategy,0.0006270385080198632,0.001745200698080279,0.0,0.040437561455260576,0.07385422418553286
Quake III Arena,First-Person Shooter,0.00030643780032184374,0.0029086678301337987,0.005847953216374269,0.018928220255653886,0.015599116510215352
Age of Empires II,Strategy,5.605569518082507e-06,0.0,0.005847953216374269,0.12254178957718781,0.22252898950855882
Quake III Arena,First-Person Shooter,0.0001736480868490448,0.005235602094240837,0.005847953216374269,0.018928220255653886,0.015599116510215352
StarCraft: Brood War,Strategy,0.00011197112655548657,0.0005817335660267597,0.0,0.040437561455260576,0.07385422418553286
Age of Empires II,Strategy,2.5083055070246523e-05,0.0029086678301337987,0.005847953216374269,0.12254178957718781,0.22252898950855882
Quake III Arena,First-Person Shooter,0.0005772490921509852,0.003490401396160558,0.005847953216374269,0.018928220255653886,0.015599116510215352
Marvel vs. Capcom 2,Fighting Game,0.0,0.001745200698080279,0.0,0.004178957718780728,0.0038652678078409724
Street Fighter Alpha 2,Fighting Game,0.0,0.001745200698080279,0.0,0.0014749262536873156,0.001380452788514633
Street Fighter Alpha 3,Fighting Game,0.0,0.001745200698080279,0.0,0.0009832841691248771,0.0005521811154058532
Street Fighter III: 3rd Strike,Fighting Game,0.0,0.001745200698080279,0.0,0.006637168141592921,0.006073992269464385
Super Street Fighter II Turbo,Fighting Game,0.0,0.001745200698080279,0.0,0.00700589970501475,0.006902263942573164
Quake III Arena,First-Person Shooter,0.0005365152869862524,0.008726003490401396,0.005847953216374269,0.018928220255653886,0.015599116510215352
StarCraft: Brood War,Strategy,0.00032023746679324774,0.002326934264107039,0.0,0.040437561455260576,0.07385422418553286
Age of Empires II,Strategy,0.00022900620004539737,0.005235602094240837,0.011695906432748537,0.12254178957718781,0.22252898950855882
Quake III Arena,First-Person Shooter,0.0012970037199999333,0.006399069226294357,0.023391812865497075,0.018928220255653886,0.015599116510215352
Age of Empires II,Strategy,0.00030838380492209894,0.006399069226294357,0.011695906432748537,0.12254178957718781,0.22252898950855882
StarCraft: Brood War,Strategy,0.0001567596270049658,0.0005817335660267597,0.005847953216374269,0.040437561455260576,0.07385422418553286
Quake III Arena,First-Person Shooter,0.001868523172694169,0.0029086678301337987,0.011695906432748537,0.018928220255653886,0.015599116510215352
Age of Empires II,Strategy,0.001245682115129446,0.002326934264107039,0.0,0.12254178957718781,0.22252898950855882
FIFA 2000,Sports,0.001245682115129446,0.002326934264107039,0.0,0.0002458210422812193,0.0
StarCraft: Brood War,Strategy,0.001245682115129446,0.002326934264107039,0.0,0.040437561455260576,0.07385422418553286
Doom II: Hell on Earth,First-Person Shooter,0.0,0.001745200698080279,0.0,0.0008603736479842675,0.0009663169519602431
StarCraft: Brood War,Strategy,0.000438480104525565,0.009307737056428156,0.0,0.040437561455260576,0.07385422418553286
Quake III Arena,First-Person Shooter,0.0031530758016805375,0.04595695171611402,0.017543859649122806,0.018928220255653886,0.015599116510215352
Counter-Strike,First-Person Shooter,0.0005920311035383804,0.0360674810936591,0.005847953216374269,0.26204523107177974,0.14108227498619547
Age of Empires II,Strategy,4.123955210347544e-06,0.0029086678301337987,0.005847953216374269,0.12254178957718781,0.22252898950855882
Quake III Arena,First-Person Shooter,0.0004747471427618667,0.006980802792321116,0.011695906432748537,0.018928220255653886,0.015599116510215352
StarCraft: Brood War,Strategy,0.00013097101758470996,0.004072134962187318,0.005847953216374269,0.040437561455260576,0.07385422418553286
Counter-Strike,First-Person Shooter,0.0001176115751727927,0.02036067481093659,0.0,0.26204523107177974,0.14108227498619547
Age of Empires II,Strategy,2.9896370763106706e-05,0.003490401396160558,0.005847953216374269,0.12254178957718781,0.22252898950855882
Quake III Arena,First-Person Shooter,9.342615863470845e-05,0.004653868528214078,0.0,0.018928220255653886,0.015599116510215352
Age of Empires II,Strategy,4.089051197481617e-05,0.006980802792321116,0.023391812865497075,0.12254178957718781,0.22252898950855882
Counter-Strike,First-Person Shooter,0.001089007443644732,0.023851076207097147,0.005847953216374269,0.26204523107177974,0.14108227498619547
Quake III Arena,First-Person Shooter,5.660952544921162e-05,0.004653868528214078,0.011695906432748537,0.018928220255653886,0.015599116510215352
Age of Empires II,Strategy,4.982728460517784e-06,0.0005817335660267597,0.0,0.12254178957718781,0.22252898950855882
StarCraft: Brood War,Strategy,0.0004590921573481889,0.009307737056428156,0.005847953216374269,0.040437561455260576,0.07385422418553286
Quake III Arena,First-Person Shooter,0.0003946739489920769,0.009307737056428156,0.005847953216374269,0.018928220255653886,0.015599116510215352
Counter-Strike,First-Person Shooter,0.0003271410370752951,0.023851076207097147,0.0,0.26204523107177974,0.14108227498619547
Age of Empires II,Strategy,1.245682115129446e-05,0.0005817335660267597,0.0,0.12254178957718781,0.22252898950855882
Age of Empires II,Strategy,1.245682115129446e-05,0.002326934264107039,0.0,0.12254178957718781,0.22252898950855882
QuakeWorld,First-Person Shooter,0.0003737046345388338,0.004653868528214078,0.0,0.0036258603736479844,0.0022087244616234127
Counter-Strike,First-Person Shooter,4.4844556144660055e-05,0.009307737056428156,0.005847953216374269,0.26204523107177974,0.14108227498619547
Quake III Arena,First-Person Shooter,0.0014499082099949964,0.001745200698080279,0.005847953216374269,0.018928220255653886,0.015599116510215352
Counter-Strike,First-Person Shooter,0.00032879430637849493,0.023851076207097147,0.0,0.26204523107177974,0.14108227498619547
Age of Empires II,Strategy,1.245682115129446e-05,0.0005817335660267597,0.0,0.12254178957718781,0.22252898950855882
Capcom vs. SNK,Fighting Game,0.0,0.001745200698080279,0.0,0.0003687315634218289,0.0001380452788514633
Marvel vs. Capcom 2,Fighting Game,0.0,0.001745200698080279,0.0,0.004178957718780728,0.0038652678078409724
Street Fighter Alpha 3,Fighting Game,0.0,0.001745200698080279,0.0,0.0009832841691248771,0.0005521811154058532
Super Street Fighter II Turbo,Fighting Game,0.0,0.001745200698080279,0.0,0.00700589970501475,0.006902263942573164
Counter-Strike,First-Person Shooter,0.000567844441318181,0.023851076207097147,0.0,0.26204523107177974,0.14108227498619547
StarCraft: Brood War,Strategy,0.0003500745430876743,0.009307737056428156,0.0,0.040437561455260576,0.07385422418553286
Quake III Arena,First-Person Shooter,0.0006975819844724898,0.008726003490401396,0.005847953216374269,0.018928220255653886,0.015599116510215352
Counter-Strike,First-Person Shooter,0.0005481001306569562,0.008726003490401396,0.005847953216374269,0.26204523107177974,0.14108227498619547
StarCraft: Brood War,Strategy,0.0003253123757302851,0.002326934264107039,0.0,0.040437561455260576,0.07385422418553286
Age of Empires II,Strategy,0.0023667960187459475,0.009307737056428156,0.0,0.12254178957718781,0.22252898950855882
Counter-Strike,First-Person Shooter,0.00013053527798083769,0.0029086678301337987,0.0,0.26204523107177974,0.14108227498619547
Quake III Arena,First-Person Shooter,6.526776355863036e-05,0.004653868528214078,0.0,0.018928220255653886,0.015599116510215352
Counter-Strike,First-Person Shooter,0.005481001306569562,0.0634089586969168,0.005847953216374269,0.26204523107177974,0.14108227498619547
Age of Empires II,Strategy,0.0015197321804579242,0.011634671320535195,0.023391812865497075,0.12254178957718781,0.22252898950855882
StarCraft: Brood War,Strategy,0.0014840695471838832,0.013961605584642232,0.011695906432748537,0.040437561455260576,0.07385422418553286
FIFA 2001,Sports,0.0011460275459190903,0.005235602094240837,0.005847953216374269,0.0005530973451327434,0.0001380452788514633
Quake III Arena,First-Person Shooter,0.0011460275459190903,0.004653868528214078,0.005847953216374269,0.018928220255653886,0.015599116510215352
Unreal Tournament,First-Person Shooter,0.0011460275459190903,0.005235602094240837,0.005847953216374269,0.0008603736479842675,0.0005521811154058532
Aliens versus Predator 2,First-Person Shooter,0.000996545692103557,0.0005817335660267597,0.0,0.00012291052114060964,0.0001380452788514633
Age of Empires II,Strategy,2.491364230258892e-05,0.0005817335660267597,0.0,0.12254178957718781,0.22252898950855882
Age of Empires II,Strategy,2.491364230258892e-05,0.0005817335660267597,0.0,0.12254178957718781,0.22252898950855882
Counter-Strike,First-Person Shooter,2.5785619783179532e-05,0.009889470622454915,0.0,0.26204523107177974,0.14108227498619547
Age of Empires II,Strategy,2.491364230258892e-05,0.0005817335660267597,0.0,0.12254178957718781,0.22252898950855882
StarCraft: Brood War,Strategy,0.0005067036226069745,0.003490401396160558,0.005847953216374269,0.040437561455260576,0.07385422418553286
Age of Empires II,Strategy,0.00013702503266423905,0.002326934264107039,0.005847953216374269,0.12254178957718781,0.22252898950855882
Super Smash Bros. Melee,Fighting Game,0.0,0.001745200698080279,0.0,0.12063667649950836,0.3718939812258421
Counter-Strike,First-Person Shooter,0.0004587005148911922,0.02443280977312391,0.0,0.26204523107177974,0.14108227498619547
Quake III Arena,First-Person Shooter,0.00029361275553731696,0.009889470622454915,0.005847953216374269,0.018928220255653886,0.015599116510215352
StarCraft: Brood War,Strategy,0.00012240471081538778,0.0005817335660267597,0.0,0.040437561455260576,0.07385422418553286
Aliens versus Predator 2,First-Person Shooter,8.719774805906123e-05,0.0005817335660267597,0.0,0.00012291052114060964,0.0001380452788514633
Age of Empires II,Strategy,4.982728460517784e-05,0.002326934264107039,0.005847953216374269,0.12254178957718781,0.22252898950855882
StarCraft: Brood War,Strategy,0.0007177191832728263,0.011052937754508435,0.005847953216374269,0.040437561455260576,0.07385422418553286
Age of Empires II,Strategy,2.491364230258892e-05,0.0005817335660267597,0.0,0.12254178957718781,0.22252898950855882
Super Smash Bros. Melee,Fighting Game,9.965456921035568e-07,0.001745200698080279,0.0,0.12063667649950836,0.3718939812258421
Counter-Strike,First-Person Shooter,0.002792823039166563,0.09831297265852239,0.011695906432748537,0.26204523107177974,0.14108227498619547
Age of Empires II,Strategy,0.00040982941587758775,0.005235602094240837,0.017543859649122806,0.12254178957718781,0.22252898950855882
Quake III Arena,First-Person Shooter,0.00023768362165938907,0.006980802792321116,0.0,0.018928220255653886,0.015599116510215352
StarCraft: Brood War,Strategy,4.982728460517784e-05,0.001745200698080279,0.0,0.040437561455260576,0.07385422418553286
Return to Castle Wolfenstein,First-Person Shooter,0.0013204230420372127,0.017452006980802792,0.0,0.003072763028515241,0.0002760905577029266
Quake III Arena,First-Person Shooter,0.000996545692103557,0.0029086678301337987,0.0,0.018928220255653886,0.015599116510215352
