Date,Game,Earnings,Players,Tournaments,ReleaseDate,Genre,TotalEarnings,TotalPlayers,TotalTournaments,Earnings_YoY_Growth,Players_YoY_Growth,Tournaments_YoY_Growth,Release_Decade
1998-01-01,Command & Conquer: Red Alert,15000.0,8,1,1996-01-01,Strategy,15000.0,8,1,,,,1990
1998-01-01,QuakeWorld,15000.0,8,1,1996-01-01,First-Person Shooter,105351.67,59,17,,,,1990
1998-05-01,Quake II,15000.0,4,1,1997-01-01,First-Person Shooter,130725.98,37,12,,,,1990
1998-05-01,Total Annihilation,15000.0,2,1,1997-01-01,Strategy,15000.0,2,1,,,,1990
1998-05-01,QuakeWorld,300.0,3,1,1996-01-01,First-Person Shooter,105351.67,59,17,-98.0,-62.5,0.0,1990
1998-07-01,Quake II,6500.0,4,1,1997-01-01,First-Person Shooter,130725.98,37,12,-56.666666666666664,0.0,0.0,1990
1998-11-01,Quake II,35000.0,13,2,1997-01-01,First-Person Shooter,130725.98,37,12,438.4615384615385,225.0,100.0,1990
1998-11-01,QuakeWorld,30000.0,17,1,1996-01-01,First-Person Shooter,105351.67,59,17,9900.0,466.6666666666667,0.0,1990
1998-11-01,StarCraft: Brood War,20000.0,8,1,1998-01-01,Strategy,7548789.3,658,536,,,,1990
1998-12-01,Age of Empires,2000.0,1,1,1997-01-01,Strategy,510716.46,473,265,,,,1990
1999-03-01,Quake II,15000.0,5,1,1997-01-01,First-Person Shooter,130725.98,37,12,-57.14285714285714,-61.53846153846154,-50.0,1990
1999-04-01,StarCraft: Brood War,3000.0,2,1,1998-01-01,Strategy,7548789.3,658,536,-85.0,-75.0,0.0,1990
1999-05-01,StarCraft: Brood War,30500.0,8,1,1998-01-01,Strategy,7548789.3,658,536,916.6666666666666,300.0,0.0,1990
1999-05-01,Quake II,27400.0,8,1,1997-01-01,First-Person Shooter,130725.98,37,12,82.66666666666667,60.00000000000001,0.0,1990
1999-08-01,Descent 3,50000.0,1,1,1999-01-01,First-Person Shooter,50000.0,1,1,,,,1990
1999-08-01,StarCraft: Brood War,49498.86,9,2,1998-01-01,Strategy,7548789.3,658,536,62.29134426229508,12.5,100.0,1990
1999-09-01,StarCraft: Brood War,34666.16,15,3,1998-01-01,Strategy,7548789.3,658,536,-29.965740625137627,66.66666666666667,50.0,1990
1999-09-01,Quake III Arena,16400.0,6,1,1999-01-01,First-Person Shooter,1197552.96,308,114,,,,1990
1999-10-01,Quake III Arena,26800.0,12,1,1999-01-01,First-Person Shooter,1197552.96,308,114,63.414634146341456,100.0,0.0,1990
1999-12-01,StarCraft: Brood War,32054.1,15,4,1998-01-01,Strategy,7548789.3,658,536,-7.5348985869793665,0.0,33.33333333333333,1990
2000-01-01,Age of Empires II,35335.86,2,1,1999-01-01,Strategy,3253232.59,1994,1613,,,,2000
2000-01-01,StarCraft: Brood War,23820.16,15,3,1998-01-01,Strategy,7548789.3,658,536,-25.68763434318855,0.0,-25.0,2000
2000-02-01,Quake III Arena,4000.0,3,1,1999-01-01,First-Person Shooter,1197552.96,308,114,-85.07462686567165,-75.0,0.0,2000
2000-02-01,Age of Empires II,450.0,5,1,1999-01-01,Strategy,3253232.59,1994,1613,-98.7265061611632,150.0,0.0,2000
2000-04-01,Quake III Arena,110927.63,43,8,1999-01-01,First-Person Shooter,1197552.96,308,114,2673.19075,1333.3333333333335,700.0,2000
2000-04-01,Age of Empires,9500.0,4,1,1997-01-01,Strategy,510716.46,473,265,375.0,300.0,0.0,2000
