Date,Game,Earnings,Players,Tournaments,ReleaseDate,TotalEarnings,TotalPlayers,TotalTournaments,Earnings_YoY_Growth,Players_YoY_Growth,Tournaments_YoY_Growth,Release_Decade,Genre_Battle Royale,Genre_Collectible Card Game,Genre_Fighting Game,Genre_First-Person Shooter,Genre_Multiplayer Online Battle Arena,Genre_Music / Rhythm Game,Genre_Puzzle Game,Genre_Racing,Genre_Role-Playing Game,Genre_Sports,Genre_Strategy,Genre_Third-Person Shooter,ReleaseYear,Predicted_Earnings
1998-01-01,Command and Conquer: Red Alert,15000.0,8,1,1996-01-01,15000.0,8,1,778.1566668158872,65.64134107666415,25.09729427253083,1990,False,False,False,False,False,False,False,False,False,False,True,False,1996,8297.889079110151
1998-01-01,QuakeWorld,15000.0,8,1,1996-01-01,105351.67,59,17,778.1566668158872,65.64134107666415,25.09729427253083,1990,False,False,False,True,False,False,False,False,False,False,False,False,1996,8297.889079110151
1998-05-01,Quake II,15000.0,4,1,1997-01-01,130725.98,37,12,778.1566668158872,65.64134107666415,25.09729427253083,1990,False,False,False,True,False,False,False,False,False,False,False,False,1997,8297.889079110151
1998-05-01,Total Annihilation,15000.0,2,1,1997-01-01,15000.0,2,1,778.1566668158872,65.64134107666415,25.09729427253083,1990,False,False,False,False,False,False,False,False,False,False,True,False,1997,8297.889079110151
1998-05-01,QuakeWorld,300.0,3,1,1996-01-01,105351.67,59,17,-98.0,-62.5,0.0,1990,False,False,False,True,False,False,False,False,False,False,False,False,1996,-18081.260286139728
1998-07-01,Quake II,6500.0,4,1,1997-01-01,130725.98,37,12,-56.666666666666664,0.0,0.0,1990,False,False,False,True,False,False,False,False,False,False,False,False,1997,-13642.138744938155
1998-11-01,Quake II,35000.0,13,2,1997-01-01,130725.98,37,12,438.4615384615385,225.0,100.0,1990,False,False,False,True,False,False,False,False,False,False,False,False,1997,5383.3182158106365
1998-11-01,QuakeWorld,30000.0,17,1,1996-01-01,105351.67,59,17,9900.0,466.6666666666667,0.0,1990,False,False,False,True,False,False,False,False,False,False,False,False,1996,87833.5285871631
1998-11-01,StarCraft: Brood War,20000.0,8,1,1998-01-01,7548789.3,658,536,778.1566668158872,65.64134107666415,25.09729427253083,1990,False,False,False,False,False,False,False,False,False,False,True,False,1998,46013.40497606481
1998-12-01,Age of Empires,2000.0,1,1,1997-01-01,510716.46,473,265,778.1566668158872,65.64134107666415,25.09729427253083,1990,False,False,False,False,False,False,False,False,False,False,True,False,1997,-758.4176311423424
1999-03-01,Quake II,15000.0,5,1,1997-01-01,130725.98,37,12,-57.14285714285714,-61.53846153846154,-50.0,1990,False,False,False,True,False,False,False,False,False,False,False,False,1997,-13642.138744938155
1999-04-01,StarCraft: Brood War,3000.0,2,1,1998-01-01,7548789.3,658,536,-85.0,-75.0,0.0,1990,False,False,False,False,False,False,False,False,False,False,True,False,1998,28581.95955148255
1999-05-01,StarCraft: Brood War,30500.0,8,1,1998-01-01,7548789.3,658,536,916.6666666666666,300.0,0.0,1990,False,False,False,False,False,False,False,False,False,False,True,False,1998,57318.49265408509
1999-05-01,Quake II,27400.0,8,1,1997-01-01,130725.98,37,12,82.66666666666667,60.00000000000001,0.0,1990,False,False,False,True,False,False,False,False,False,False,False,False,1997,-8632.817475874497
1999-08-01,Descent 3,50000.0,1,1,1999-01-01,50000.0,1,1,778.1566668158872,65.64134107666415,25.09729427253083,1990,False,False,False,True,False,False,False,False,False,False,False,False,1999,8297.889079110151
1999-08-01,StarCraft: Brood War,49498.86,9,2,1998-01-01,7548789.3,658,536,62.29134426229508,12.5,100.0,1990,False,False,False,False,False,False,False,False,False,False,True,False,1998,47230.17904228503
1999-09-01,StarCraft: Brood War,34666.16,15,3,1998-01-01,7548789.3,658,536,-29.965740625137627,66.66666666666667,50.0,1990,False,False,False,False,False,False,False,False,False,False,True,False,1998,26623.879884605445
1999-09-01,Quake III Arena,16400.0,6,1,1999-01-01,1197552.96,308,114,778.1566668158872,65.64134107666415,25.09729427253083,1990,False,False,False,True,False,False,False,False,False,False,False,False,1999,18301.586015318735
1999-10-01,Quake III Arena,26800.0,12,1,1999-01-01,1197552.96,308,114,63.414634146341456,100.0,0.0,1990,False,False,False,True,False,False,False,False,False,False,False,False,1999,1370.8794603340793
1999-12-01,StarCraft: Brood War,32054.1,15,4,1998-01-01,7548789.3,658,536,-7.5348985869793665,0.0,33.33333333333333,1990,False,False,False,False,False,False,False,False,False,False,True,False,1998,46188.113119159985
2000-01-01,Age of Empires II,35335.86,2,1,1999-01-01,3253232.59,1994,1613,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-28275.366752338625
2000-01-01,StarCraft: Brood War,23820.16,15,3,1998-01-01,7548789.3,658,536,-25.68763434318855,0.0,-25.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,47604.86573250968
2000-02-01,Quake III Arena,4000.0,3,1,1999-01-01,1197552.96,308,114,-85.07462686567165,-75.0,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,-6690.988942581327
2000-02-01,Age of Empires II,450.0,5,1,1999-01-01,3253232.59,1994,1613,-98.7265061611632,150.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-62441.0595349497
2000-04-01,Quake III Arena,110927.63,43,8,1999-01-01,1197552.96,308,114,2673.19075,1333.3333333333337,700.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,51319.288156142255
2000-04-01,Age of Empires,9500.0,4,1,1997-01-01,510716.46,473,265,375.0,300.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1997,-19917.066253034256
2000-04-01,Age of Empires II,5015.0,1,1,1999-01-01,3253232.59,1994,1613,1014.4444444444443,-80.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,116567.07233515612
2000-05-01,StarCraft: Brood War,25168.48,3,1,1998-01-01,7548789.3,658,536,5.660415379241779,-80.0,-66.66666666666667,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,106874.39353352202
2000-05-01,Quake III Arena,12300.0,5,2,1999-01-01,1197552.96,308,114,-88.91168954028856,-88.37209302325581,-75.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,5624.441670138836
2000-05-01,Age of Empires II,225.0,0,2,1999-01-01,3253232.59,1994,1613,-95.5134596211366,-100.0,100.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-17127.787381086386
2000-06-01,Quake III Arena,6970.0,9,2,1999-01-01,1197552.96,308,114,-43.333333333333336,80.0,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,-5676.247770475808
2000-06-01,StarCraft: Brood War,4494.37,1,1,1998-01-01,7548789.3,658,536,-82.14286281889093,-66.66666666666667,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,28581.95955148255
2000-06-01,Age of Empires II,1006.8,5,2,1999-01-01,3253232.59,1994,1613,347.4666666666667,65.64134107666415,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-26858.614138988938
2000-07-01,Quake III Arena,23170.0,6,2,1999-01-01,1197552.96,308,114,232.42467718794836,-33.333333333333336,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,35658.357749814975
2000-07-01,Marvel vs. Capcom 2,0.0,3,1,2000-01-01,39279.73,68,29,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,True,False,False,False,False,False,False,False,False,False,2000,8297.889079110151
2000-07-01,Street Fighter Alpha 2,0.0,3,1,1996-01-01,2944.69,24,11,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,True,False,False,False,False,False,False,False,False,False,1996,8297.889079110151
2000-07-01,Street Fighter Alpha 3,0.0,3,1,1998-01-01,340.0,16,5,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,True,False,False,False,False,False,False,False,False,False,1998,8297.889079110151
2000-07-01,Street Fighter III: 3rd Strike,0.0,3,1,1999-01-01,54341.18,108,45,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,True,False,False,False,False,False,False,False,False,False,1999,8297.889079110151
2000-07-01,Super Street Fighter II Turbo,0.0,3,1,1994-01-01,25646.29,114,51,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,True,False,False,False,False,False,False,False,False,False,1994,8297.889079110151
2000-08-01,Quake III Arena,21535.0,15,2,1999-01-01,1197552.96,308,114,-7.056538627535602,150.0,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,328.8135372090323
2000-08-01,StarCraft: Brood War,12853.9,4,1,1998-01-01,7548789.3,658,536,186.00004005010712,300.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,19603.23142428583
2000-08-01,Age of Empires II,9192.0,9,3,1999-01-01,3253232.59,1994,1613,812.9916567342074,80.0,50.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-28275.366752338625
2000-09-01,Quake III Arena,52059.98,11,5,1999-01-01,1197552.96,308,114,141.74590201996753,-26.66666666666667,150.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,26990.080206578215
