Game,Genre,Total Earnings,Year,Earnings
Dota 2,Multiplayer Online Battle Arena,48880656253.200005,2013,48880656253.200005
Counter-Strike: Global Offensive,First-Person Shooter,22141367982.53,2012,22141367982.53
League of Legends,Multiplayer Online Battle Arena,16381724667.36,2009,16381724667.36
Fortnite,Battle Royale,11555634127.32,2017,11555634127.32
StarCraft II,Strategy,6624527725.200001,2010,6624527725.200001
Arena of Valor,Multiplayer Online Battle Arena,4986937667.84,2015,4986937667.84
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,Battle Royale,4142381092.0800004,2017,4142381092.0800004
PLAYERUNKNOWNâ€™S BATTLEGROUNDS,Battle Royale,4101710817.6,2017,4101710817.6
Rocket League,Sports,3482528272.74,2015,3482528272.74
Rainbow Six Siege,First-Person Shooter,3277921031.0099998,2015,3277921031.0099998
